distance_cm,sample,frame,status,object_count,label,x,y,width,height,area,confidence,inference_ms,checksum
22.0,1,1,WRONG_LABEL,1,J2534VCI,32,32,8,8,64,1.00,198,0x00077895
22.0,2,2,DETECTED,1,keyfob,24,32,8,8,64,0.97,197,0x0004E0F9
22.0,3,3,DETECTED,1,keyfob,24,32,8,8,64,0.93,197,0x0004E23B
22.0,4,4,DETECTED,1,keyfob,24,32,8,8,64,0.93,197,0x0004E19D
22.0,5,5,DETECTED,1,keyfob,24,32,8,8,64,0.94,197,0x0004E16D
22.0,6,6,DETECTED,1,keyfob,24,32,8,8,64,0.94,197,0x0004DF0D
22.0,7,7,DETECTED,1,keyfob,24,32,8,8,64,0.96,197,0x0004DFFA
22.0,8,8,DETECTED,1,keyfob,24,32,8,8,64,0.89,197,0x0004E203
22.0,9,9,DETECTED,1,keyfob,24,32,8,8,64,0.96,197,0x0004DF92
22.0,10,10,DETECTED,1,keyfob,24,32,8,8,64,0.93,197,0x0004E1E6
33.0,1,11,DETECTED,2,keyfob,24,32,8,8,64,0.95,197,0x0004F2CE
33.0,2,12,DETECTED,2,keyfob,24,32,8,8,64,0.91,197,0x0004F536
33.0,3,13,DETECTED,2,keyfob,24,32,8,8,64,0.95,197,0x0004F719
33.0,4,14,DETECTED,2,keyfob,24,32,8,8,64,0.89,197,0x0004F3C8
33.0,5,15,DETECTED,2,keyfob,24,32,8,8,64,0.94,197,0x0004F3A6
33.0,6,16,DETECTED,2,keyfob,24,32,8,8,64,0.87,197,0x0004F39E
33.0,7,17,DETECTED,2,keyfob,24,32,8,8,64,0.90,197,0x0004F391
33.0,8,18,DETECTED,2,keyfob,24,32,8,8,64,0.89,197,0x0004F3B6
33.0,9,19,DETECTED,2,keyfob,24,32,8,8,64,0.87,197,0x0004F30B
33.0,10,20,DETECTED,2,keyfob,24,32,8,8,64,0.94,197,0x0004F278
44.0,1,21,DETECTED,1,keyfob,24,32,8,8,64,0.86,197,0x0004E37F
44.0,2,22,DETECTED,1,keyfob,24,32,8,8,64,0.96,197,0x0004E8AF
44.0,3,23,DETECTED,2,keyfob,24,32,8,8,64,0.83,197,0x0004E074
44.0,4,24,DETECTED,1,keyfob,24,32,8,8,64,0.93,197,0x0004DF08
44.0,5,25,DETECTED,1,keyfob,24,32,8,8,64,0.92,197,0x0004E09E
44.0,6,26,DETECTED,1,keyfob,24,32,8,8,64,0.89,197,0x0004DF4C
44.0,7,27,DETECTED,1,keyfob,24,32,8,8,64,0.97,197,0x0004DDA8
44.0,8,28,DETECTED,1,keyfob,24,32,8,8,64,0.92,197,0x0004E053
44.0,9,29,DETECTED,1,keyfob,24,32,8,8,64,0.95,197,0x0004E1DD
44.0,10,30,DETECTED,1,keyfob,24,32,8,8,64,0.85,197,0x0004E1F0
